method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4081,0.5296,23,0.6216216216216216,0.179
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5246,0.4642,136,3.675675675675676,0.4
LP,0.7129,0.4784,0.4878,64,1.7297297297297298,0.328
ML,0.7129,0.409,0.5329,24,0.6486486486486487,0.191
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4041,0.5359,25,0.6756756756756757,0.18
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5147,0.4728,131,3.5405405405405403,0.404
LP,0.7129,0.0015,0.0088,7,0.1891891891891892,0.011
ML,0.7129,0.4135,0.5289,26,0.7027027027027027,0.206
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4022,0.5339,22,0.5945945945945946,0.179
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5221,0.4662,131,3.5405405405405403,0.4
LP,0.7129,0.0029,0.0127,9,0.24324324324324326,0.015
ML,0.7129,0.3987,0.5336,23,0.6216216216216216,0.181
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4169,0.5304,25,0.6756756756756757,0.201
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5216,0.4672,132,3.5675675675675675,0.4
LP,0.7129,0.4789,0.4845,71,1.9189189189189189,0.34
ML,0.7129,0.4027,0.531,22,0.5945945945945946,0.18
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4061,0.535,23,0.6216216216216216,0.181
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5211,0.4672,131,3.5405405405405403,0.398
LP,0.7129,0.4661,0.4928,62,1.6756756756756757,0.32
ML,0.7129,0.3992,0.5368,23,0.6216216216216216,0.177
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4081,0.5338,25,0.6756756756756757,0.19
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5147,0.473,130,3.5135135135135136,0.404
LP,0.7129,0.4612,0.4855,63,1.7027027027027026,0.338
ML,0.7129,0.4041,0.5345,22,0.5945945945945946,0.182
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.409,0.5342,24,0.6486486486486487,0.181
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5216,0.4676,132,3.5675675675675675,0.406
LP,0.7129,0.002,0.0098,8,0.21621621621621623,0.013
ML,0.7129,0.4027,0.5329,22,0.5945945945945946,0.174
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4031,0.5328,23,0.6216216216216216,0.174
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5221,0.4666,133,3.5945945945945947,0.398
LP,0.7129,0.0059,0.0185,11,0.2972972972972973,0.021
ML,0.7129,0.4036,0.5339,23,0.6216216216216216,0.175
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4036,0.537,24,0.6486486486486487,0.193
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5202,0.4689,127,3.4324324324324325,0.399
LP,0.7129,0.4764,0.4882,72,1.945945945945946,0.333
ML,0.7129,0.3958,0.5362,21,0.5675675675675675,0.166
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4135,0.5329,25,0.6756756756756757,0.187
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5241,0.4649,137,3.7027027027027026,0.405
LP,0.7129,0.4626,0.4995,58,1.5675675675675675,0.322
ML,0.7129,0.4061,0.5299,23,0.6216216216216216,0.181
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4051,0.5326,22,0.5945945945945946,0.171
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5206,0.4675,134,3.6216216216216215,0.407
LP,0.7129,0.0034,0.0127,9,0.24324324324324326,0.016
ML,0.7129,0.4086,0.5282,23,0.6216216216216216,0.178
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4154,0.5308,26,0.7027027027027027,0.194
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5246,0.4646,135,3.6486486486486487,0.406
LP,0.7129,0.0034,0.0117,8,0.21621621621621623,0.014
ML,0.7129,0.3992,0.5336,22,0.5945945945945946,0.175
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4051,0.5292,22,0.5945945945945946,0.18
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5187,0.4691,131,3.5405405405405403,0.402
LP,0.7129,0.4725,0.4875,68,1.837837837837838,0.333
ML,0.7129,0.4012,0.5328,23,0.6216216216216216,0.18
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4041,0.5351,25,0.6756756756756757,0.197
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.527,0.4625,137,3.7027027027027026,0.408
LP,0.7129,0.002,0.0098,8,0.21621621621621623,0.013
ML,0.7129,0.4105,0.5327,24,0.6486486486486487,0.182
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4031,0.5345,23,0.6216216216216216,0.167
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5226,0.4662,133,3.5945945945945947,0.406
LP,0.7129,0.472,0.4891,59,1.5945945945945945,0.316
ML,0.7129,0.412,0.5301,23,0.6216216216216216,0.185
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.41,0.5295,23,0.6216216216216216,0.174
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.527,0.4623,136,3.675675675675676,0.402
LP,0.7129,0.4966,0.4791,80,2.1621621621621623,0.362
ML,0.7129,0.3977,0.5362,23,0.6216216216216216,0.169
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4135,0.5284,24,0.6486486486486487,0.191
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5216,0.4671,133,3.5945945945945947,0.397
LP,0.7129,0.4744,0.4928,68,1.837837837837838,0.333
ML,0.7129,0.4076,0.5338,24,0.6486486486486487,0.19
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4036,0.5333,23,0.6216216216216216,0.188
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5202,0.4684,133,3.5945945945945947,0.403
LP,0.7129,0.4769,0.4865,66,1.7837837837837838,0.323
ML,0.7129,0.3953,0.5326,22,0.5945945945945946,0.166
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4125,0.5313,24,0.6486486486486487,0.186
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5192,0.4694,131,3.5405405405405403,0.398
LP,0.7129,0.471,0.4913,62,1.6756756756756757,0.313
ML,0.7129,0.4041,0.5316,23,0.6216216216216216,0.179
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
