sede_op_ateco;NACE;NACE_group;Colonna1
31.40.0;31;MAN;
31.02.00;31;MAN;
31.01.21;31;MAN;
31.09.10;31;MAN;
31.09.40;31;MAN;
31.02.00;31;MAN;
31.09.10;31;MAN;
31.09.10;31;MAN;
31.40.0;31;MAN;
31.20.1;31;MAN;
31.01.22;31;MAN;
31.20.2;31;MAN;
31.09.20;31;MAN;
31.09.40;31;MAN;
31.62.1;31;MAN;
31.09.30;31;MAN;
31.09.10;31;MAN;
31.09.10;31;MAN;
31.09.10;31;MAN;
31.09.40;31;MAN;
31.01.22;31;MAN;
31.09.10;31;MAN;
31.09.40;31;MAN;
31.09.40;31;MAN;
31.09.10;31;MAN;
31.09.10;31;MAN;
31.09.10;31;MAN;
32.99.90;32;MAN;
32.20.2;32;MAN;
32.50.30;32;MAN;
32.50.30;32;MAN;
32.20.1;32;MAN;
32.30.00;32;MAN;
32.50.20;32;MAN;
33.15.00;33;INS;
33.15.00;33;INS;
33.10.1;33;INS;
33.19.09;33;INS;
33.17.00;33;INS;
33.13.03;33;INS;
33.20.03;33;INS;
33.20.03;33;INS;
33.20.02;33;INS;
33.20.03;33;INS;
33.20.02;33;INS;
33.20.03;33;INS;
33.20.03;33;INS;
33.13.03;33;INS;
33.20.09;33;INS;
33.12.99;33;INS;
33.20.03;33;INS;
33.15.00;33;INS;
33.17.00;33;INS;
33.20.03;33;INS;
33.20.03;33;INS;
33.20.09;33;INS;
33.15.00;33;INS;
33.20.03;33;INS;
33.20.03;33;INS;
33.12.10;33;INS;
33.20.02;33;INS;
33.13.03;33;INS;
33.20.09;33;INS;
33.12.99;33;INS;
33.12.51;33;INS;
33.20.03;33;INS;
33.12.99;33;INS;
33.20.03;33;INS;
33.20.02;33;INS;
33.13.03;33;INS;
35.11.00;35;EGW;
35.13.00;35;EGW;
35.13.00;35;EGW;
35.13.00;35;EGW;
35.23.00;35;EGW;
35.13.00;35;EGW;
35.23.00;35;EGW;
35.11.00;35;EGW;
35.14.00;35;EGW;
35.23.00;35;EGW;
35.23.00;35;EGW;
36.14.1;36;EGW;
36.00.00;36;EGW;
36.00.00;36;EGW;
36.00.00;36;EGW;
36.00.00;36;EGW;
36.00.00;36;EGW;
36.11.1;36;EGW;
36.00.00;36;EGW;
36.00.00;36;EGW;
37.00.00;37;EGW;
38.11.00;38;EGW;
38.12.00;38;EGW;
38.21.09;38;EGW;
38.11.00;38;EGW;
38.21.09;38;EGW;
38.11.00;38;EGW;
38.32.30;38;EGW;
38.32.30;38;EGW;
38.21.09;38;EGW;
38.12.00;38;EGW;
38.21.09;38;EGW;
38.21.09;38;EGW;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.00.2;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
41.20.00;41;CON;
42.99.09;42;CON;
42.22.00;42;CON;
42.11.00;42;CON;
42.11.00;42;CON;
42.11.00;42;CON;
42.22.00;42;CON;
42.99.09;42;CON;
43.21.01;43;CON;
43.21.02;43;CON;
43.22.01;43;CON;
43.21.01;43;CON;
43.39.09;43;CON;
43.13.00;43;CON;
43.99.09;43;CON;
43.99.09;43;CON;
43.99.09;43;CON;
43.99.09;43;CON;
43.21.01;43;CON;
43.99.09;43;CON;
43.29.09;43;CON;
43.99.09;43;CON;
43.29.09;43;CON;
43.21.01;43;CON;
43.21.01;43;CON;
43.22.01;43;CON;
43.29.09;43;CON;
43.21.02;43;CON;
43.99.09;43;CON;
43.21.01;43;CON;
43.21.01;43;CON;
43.29.09;43;CON;
43.22.01;43;CON;
43.22.01;43;CON;
43.21.01;43;CON;
43.22.01;43;CON;
43.99.09;43;CON;
43.99.09;43;CON;
43.22.01;43;CON;
43.21.01;43;CON;
43.21.01;43;CON;
43.29.01;43;CON;
43.21.01;43;CON;
43.22.01;43;CON;
43.29.09;43;CON;
43.29.09;43;CON;
43.39.01;43;CON;
43.22.01;43;CON;
43.99.09;43;CON;
43.22.01;43;CON;
43.21.01;43;CON;
43.91.00;43;CON;
43.39.09;43;CON;
43.39.01;43;CON;
43.12.00;43;CON;
43.29.09;43;CON;
43.99.09;43;CON;
43.99.09;43;CON;
45.11.01;45;WHOL;
45.11.01;45;WHOL;
45.21.2;45;WHOL;
45.11.01;45;WHOL;
45.11.01;45;WHOL;
45.21.2;45;WHOL;
45.21.2;45;WHOL;
45.20.20;45;WHOL;
45.11.01;45;WHOL;
45.41.0;45;WHOL;
45.11.01;45;WHOL;
45.21.2;45;WHOL;
45.11.01;45;WHOL;
45.11.01;45;WHOL;
45.11.01;45;WHOL;
45.23.0;45;WHOL;
45.19.01;45;WHOL;
45.20.10;45;WHOL;
46.18.97;46;WHOL;
46.43.10;46;WHOL;
46.46.30;46;WHOL;
46.46.30;46;WHOL;
46.69.99;46;WHOL;
46.46.30;46;WHOL;
46.90.00;46;WHOL;
46.73.22;46;WHOL;
46.21.10;46;WHOL;
46.69.99;46;WHOL;
46.18.21;46;WHOL;
46.18.21;46;WHOL;
46.18.21;46;WHOL;
46.43.20;46;WHOL;
46.51.00;46;WHOL;
46.69.99;46;WHOL;
46.73.29;46;WHOL;
46.51.00;46;WHOL;
46.74.10;46;WHOL;
46.90.00;46;WHOL;
46.69.99;46;WHOL;
46.51.00;46;WHOL;
46.69.99;46;WHOL;
46.75.01;46;WHOL;
46.75.02;46;WHOL;
46.75.01;46;WHOL;
46.90.00;46;WHOL;
46.51.00;46;WHOL;
46.51.00;46;WHOL;
46.71.00;46;WHOL;
46.46.10;46;WHOL;
46.43.30;46;WHOL;
46.46.30;46;WHOL;
46.51.00;46;WHOL;
46.51.00;46;WHOL;
46.46.30;46;WHOL;
46.51.00;46;WHOL;
46.73.10;46;WHOL;
46.38.20;46;WHOL;
46.69.19;46;WHOL;
46.46.10;46;WHOL;
46.69.20;46;WHOL;
46.51.00;46;WHOL;
46.51.00;46;WHOL;
46.69.99;46;WHOL;
46.75.02;46;WHOL;
46.69.99;46;WHOL;
46.75.01;46;WHOL;
46.75.01;46;WHOL;
46.46.30;46;WHOL;
46.46.30;46;WHOL;
46.69.99;46;WHOL;
46.14.01;46;WHOL;
46.51.00;46;WHOL;
46.51.00;46;WHOL;
46.49.10;46;WHOL;
46.46.10;46;WHOL;
46.51.00;46;WHOL;
46.39.20;46;WHOL;
46.75.02;46;WHOL;
46.90.00;46;WHOL;
46.18.32;46;WHOL;
46.43.10;46;WHOL;
46.46.10;46;WHOL;
46.75.02;46;WHOL;
46.51.00;46;WHOL;
46.51.00;46;WHOL;
46.46.30;46;WHOL;
46.75.02;46;WHOL;
46.69.99;46;WHOL;
46.18.32;46;WHOL;
46.51.00;46;WHOL;
46.69.19;46;WHOL;
46.21.22;46;WHOL;
46.51.00;46;WHOL;
46.51.00;46;WHOL;
46.69.99;46;WHOL;
46.69.99;46;WHOL;
46.52.09;46;WHOL;
46.51.00;46;WHOL;
46.75.02;46;WHOL;
46.46.30;46;WHOL;
46.39.20;46;WHOL;
46.51.00;46;WHOL;
46.69.99;46;WHOL;
46.51.00;46;WHOL;
47.24.20;47;WHOL;
47.59.10;47;WHOL;
47.11.20;47;WHOL;
47.64.10;47;WHOL;
47.11.20;47;WHOL;
47.99.10;47;WHOL;
47.91.10;47;WHOL;
47.11.20;47;WHOL;
47.72.10;47;WHOL;
47.11.20;47;WHOL;
47.91.10;47;WHOL;
47.11.20;47;WHOL;
47.72.10;47;WHOL;
47.76.20;47;WHOL;
47.11.20;47;WHOL;
47.71.10;47;WHOL;
47.64.10;47;WHOL;
47.59.10;47;WHOL;
47.11.20;47;WHOL;
47.77.00;47;WHOL;
47.11.20;47;WHOL;
47.59.10;47;WHOL;
47.77.00;47;WHOL;
47.71.10;47;WHOL;
47.76.20;47;WHOL;
47.78.20;47;WHOL;
47.29.30;47;WHOL;
47.29.30;47;WHOL;
47.29.30;47;WHOL;
47.76.20;47;WHOL;
47.91.20;47;WHOL;
47.30.00;47;WHOL;
47.91.10;47;WHOL;
47.71.10;47;WHOL;
47.24.20;47;WHOL;
47.11.30;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.78.20;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.91.10;47;WHOL;
47.71.10;47;WHOL;
47.21.01;47;WHOL;
47.29.30;47;WHOL;
47.73.10;47;WHOL;
47.73.10;47;WHOL;
47.30.00;47;WHOL;
47.76.20;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.99.20;47;WHOL;
47.78.20;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.74.00;47;WHOL;
47.76.20;47;WHOL;
47.71.10;47;WHOL;
47.59.30;47;WHOL;
47.77.00;47;WHOL;
47.11.50;47;WHOL;
47.11.20;47;WHOL;
47.11.30;47;WHOL;
47.11.50;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.19.10;47;WHOL;
47.11.20;47;WHOL;
47.78.20;47;WHOL;
47.11.20;47;WHOL;
47.11.20;47;WHOL;
47.91.10;47;WHOL;
47.91.30;47;WHOL;
47.11.50;47;WHOL;
47.52.10;47;WHOL;
47.59.10;47;WHOL;
47.91.10;47;WHOL;
47.91.20;47;WHOL;
47.91.20;47;WHOL;
47.11.30;47;WHOL;
47.99.20;47;WHOL;
47.73.10;47;WHOL;
47.11.20;47;WHOL;
47.52.30;47;WHOL;
47.11.10;47;WHOL;
47.75.20;47;WHOL;
47.59.10;47;WHOL;
47.11.20;47;WHOL;
47.91.10;47;WHOL;
47.11.30;47;WHOL;
47.52.10;47;WHOL;
47.29.30;47;WHOL;
47.59.10;47;WHOL;
47.52.10;47;WHOL;
47.77.00;47;WHOL;
47.29.30;47;WHOL;
47.77.00;47;WHOL;
47.59.10;47;WHOL;
47.29.30;47;WHOL;
47.59.10;47;WHOL;
47.54.00;47;WHOL;
47.11.20;47;WHOL;
47.78.20;47;WHOL;
47.91.10;47;WHOL;
47.91.10;47;WHOL;
47.59.10;47;WHOL;
47.11.40;47;WHOL;
47.78.20;47;WHOL;
47.99.20;47;WHOL;
47.99.10;47;WHOL;
47.73.10;47;WHOL;
47.91.10;47;WHOL;
47.74.00;47;WHOL;
47.77.00;47;WHOL;
47.77.00;47;WHOL;
47.77.00;47;WHOL;
47.77.00;47;WHOL;
49.41.00;49;TRAN;
49.41.00;49;TRAN;
49.31.00;49;TRAN;
49.31.00;49;TRAN;
49.41.00;49;TRAN;
49.41.00;49;TRAN;
49.41.00;49;TRAN;
49.41.00;49;TRAN;
49.41.00;49;TRAN;
49.41.00;49;TRAN;
49.31.00;49;TRAN;
49.41.00;49;TRAN;
49.31.00;49;TRAN;
50.10.00;50;TRAN;
51.44.4;51;TRAN;
51.21.2;51;TRAN;
52.29.21;52;TRAN;
52.22.09;52;TRAN;
52.22.09;52;TRAN;
52.29.10;52;TRAN;
52.21.20;52;TRAN;
52.11.2;52;TRAN;
52.11.1;52;TRAN;
52.22.09;52;TRAN;
52.22.09;52;TRAN;
52.24.40;52;TRAN;
52.11.2;52;TRAN;
52.48.2;52;TRAN;
52.29.10;52;TRAN;
52.21.20;52;TRAN;
52.24.30;52;TRAN;
52.29.10;52;TRAN;
52.11.4;52;TRAN;
52.11.2;52;TRAN;
52.48.E;52;TRAN;
52.21.90;52;TRAN;
52.11.1;52;TRAN;
52.21.20;52;TRAN;
52.22.09;52;TRAN;
52.22.09;52;TRAN;
52.24.40;52;TRAN;
52.21.90;52;TRAN;
52.21.20;52;TRAN;
52.21.20;52;TRAN;
52.21.90;52;TRAN;
52.21.20;52;TRAN;
52.29.10;52;TRAN;
52.21.20;52;TRAN;
52.21.20;52;TRAN;
52.21.20;52;TRAN;
52.29.22;52;TRAN;
52.29.22;52;TRAN;
52.24.40;52;TRAN;
52.21.40;52;TRAN;
