mu,met,j,nmi,nc_norm
20,LV_inc05_ST,0,0.762,0.973
20,LV_inc05_ST,0,0.763,0.973
20,LV_inc05_ST,0,0.757,0.973
20,LV_inc05_ST,0,0.745,0.9459
20,LV_inc05_ST,0,0.761,0.9459
20,LV_inc05_ST,0,0.779,1
20,LV_inc05_ST,0,0.758,0.973
20,LV_inc05_ST,0,0.753,0.9459
20,LV_inc05_ST,0,0.756,0.9459
20,LV_inc05_ST,0,0.76,0.973
20,LV_inc05_ST,0,0.769,0.973
20,LV_inc05_ST,0,0.751,0.9459
20,LV_inc05_ST,0,0.766,0.973
20,LV_cons_gamma_LIM,0,0.83,1.3784
20,LV_cons_LF,1,0.796,1.1622
20,LV_cons_LF,2,0.796,1.1622
25,LV_inc05_ST,0,0.694,0.7838
25,LV_inc05_ST,0,0.708,0.7838
25,LV_inc05_ST,0,0.724,0.8378
25,LV_inc05_ST,0,0.716,0.7838
25,LV_inc05_ST,0,0.707,0.7838
25,LV_inc05_ST,0,0.718,0.8108
25,LV_inc05_ST,0,0.678,0.7297
25,LV_inc05_ST,0,0.723,0.8108
25,LV_inc05_ST,0,0.709,0.8108
25,LV_inc05_ST,0,0.723,0.8108
25,LV_inc05_ST,0,0.721,0.8108
25,LV_inc05_ST,0,0.714,0.8108
25,LV_inc05_ST,0,0.706,0.7838
25,LV_inc05_ST,0,0.699,0.7838
25,LV_inc05_ST,0,0.713,0.8108
25,LV_inc05_ST,0,0.686,0.7838
25,LV_inc05_ST,0,0.685,0.7568
25,LV_inc05_ST,0,0.699,0.7838
25,LV_inc05_ST,0,0.707,0.7838
25,LV_inc05_ST,0,0.707,0.7838
25,LV_inc05_ST,0,0.705,0.7838
25,LV_inc05_ST,0,0.7,0.8108
25,LV_inc05_ST,0,0.711,0.7838
25,LV_inc05_ST,0,0.695,0.7838
25,LV_inc05_ST,0,0.703,0.7838
25,LV_inc05_ST,0,0.697,0.8108
25,LV_inc05_ST,0,0.725,0.8108
25,LV_inc05_ST,0,0.699,0.7838
