mm1,mm2,met1,met2,nmi_m1_m2
ML,LP,3,2,0.9057266957380046
ML,LP,3,2,0.9290157594117443
ML,LP,3,2,0.8810540228130994
ML,LP,3,2,0.8580315188234886
ML,LP,3,2,0.8813205824972287
ML,LP,3,2,0.8583107812152477
ML,LP,3,2,0.8815998448889878
ML,LP,3,2,0.9281906749440968
ML,LP,3,2,0.928457234628226
ML,LP,3,2,0.9290157594117443
ML,LP,3,2,0.9523048230854844
ML,LP,3,2,0.9281906749440968
ML,LP,3,2,0.8583107812152477
ML,LP,3,2,0.8815998448889878
ML,LP,3,2,0.9281906749440968
ML,LP,3,2,0.9290157594117443
ML,LP,3,2,0.8810540228130994
ML,LP,3,2,0.9046223488785983
ML,WT,3,4,0.9536758677312546
ML,WT,3,4,0.9536758677312546
ML,WT,3,4,0.9536758677312546
ML,WT,3,4,0.9536758677312546
ML,WT,3,4,0.9536758677312546
ML,WT,3,4,0.9536758677312546
ML,WT,3,4,0.9536758677312546
ML,WT,3,4,0.9536758677312546
ML,WT,3,4,0.9536758677312546
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9076245676561666
ML,WT,3,4,0.9076245676561666
ML,WT,3,4,0.9076245676561666
ML,WT,3,4,0.9076245676561666
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
ML,WT,3,4,0.9306502176937104
WT,IM,4,1,0.9096796110143461
WT,IM,4,1,0.9549731868036592
WT,IM,4,1,0.9549731868036592
WT,IM,4,1,0.9549731868036592
WT,IM,4,1,0.9096796110143461
WT,IM,4,1,0.9096796110143461
WT,IM,4,1,0.9096796110143461
WT,IM,4,1,0.9549731868036592
WT,IM,4,1,0.9549731868036592
WT,IM,4,1,0.9549731868036592
WT,IM,4,1,0.9549731868036592
